§º·´ÅÍ§ÃÒÂà¢µ	¢éÍÁÙÅ»Ñ¨¨ØºÑ¹(04.08.201717:50:19)
¼Ñ§ºÑ­ªÕ	¼Ñ§ºÑ­ªÕ ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
ÃËÑÊºÃÔÉÑ·	9000 ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
àÅ¢·ÕèºÑ­ªÕ	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	ÂÍ´ÃÇÁ ¡¿À.
	§Ç´   1-   1;&N1	§Ç´   1-   1;&N2	§Ç´   1-   1;&N3	§Ç´   1-   1;&E1	§Ç´   1-   1;&E2	§Ç´   1-   1;&E3	§Ç´   1-   1;&C1	§Ç´   1-   1;&C2	§Ç´   1-   1;&C3	§Ç´   1-   1;&S1	§Ç´   1-   1;&S2	§Ç´   1-   1;&S3	§Ç´   1-   1;&Y000	§Ç´   1-   1;&Z000	§Ç´   1-   1;&BLANK	
áÊ´§ã¹	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB
11148751   C/A BAAC 052881 »¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11148760   C/A BAAC 055180 ¤¹¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11148761   C/A BAAC 055180 ¤¹¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1669.27	               0.00	               0.00	               0.00	            1669.27
11148770   C/A BAAC 085618 Ã¹´.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11148771   C/A BAAC 085618 Ã¹´.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11148780   C/A BAAC 101395 ÃÀ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11148781   C/A BAAC 101395 ÃÀ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11149010   C/A BAAC 000429 Ê¹­	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11149011   C/A BAAC 000429 Ê¹­	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11158260   C/A ISBT 00018-8¨Ð¹Ð	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11158261   C/A ISBT 00018-8¨Ð¹Ð	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11164510   C/A LHBANK00003-3Êº.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11164511   C/A LHBANK 00003-3Êº	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11320030   S/A BBL 83861-4·èÒá¾	         2682535.21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2682535.21
11320031   S/A BBL 83861-4·èÒá¾	         3544660.98	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         3544660.98
11320070   S/A BBL 06992-3 ´¡.	            6618.29	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            6618.29
11320071   S/A BBL 06992-3 ´¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11320210   S/A BBL 04151-0 Ç»».	          345317.48	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          345317.48
11320211   S/A BBL 04151-0 Ç»».	            1750.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1750.40
11320270   S/A BBL 56807-0 ½Ò§	             950.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             950.05
11320271   S/A BBL 56807-0 ½Ò§	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11320290   S/A BBL 25272-3 Á¨.	             642.36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             642.36
11320291   S/A BBL 25272-3 Á¨.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11320360   S/A BBL 05796-4 Ê·Ã.	          218618.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          218618.09
11320361   S/A BBL 05796-4 Ê·Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11320420   S/A BBL 33248-6 Áµ.	         1119795.17	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1119795.17
11320421   S/A BBL 33248-6 Áµ.	        -1120000.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        -1120000.00
11320430   S/A BBL 22516-1 ¡¤.	           23646.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           23646.05
11320431   S/A BBL 22516-1 ¡¤.	          445540.81	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          445540.81
11320440   S/A BBL 30407-7 ¶¹.	            4448.94	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            4448.94
11320441   S/A BBL 30407-7 ¶¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11320490   S/A BBL 34799-8 ÊÀ.	          275653.27	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          275653.27
11320491   S/A BBL 34799-8 ÊÀ.	           55602.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           55602.03
11320500   S/A BBL 12766-4 º¸.	           25936.23	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           25936.23
11320501   S/A BBL 12766-4 º¸.	           -8402.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -8402.76
11320510   S/A BBL 77555-3 ÁÃÁ	            1114.83	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1114.83
11320511   S/A BBL 77555-3 ÁÃÁ	            -690.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            -690.00
11320520   S/A BBL 45870-9 ÁÊÂ.	             885.24	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             885.24
11320521   S/A BBL 45870-9 ÁÊÂ.	          258488.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          258488.00
11320530   S/A BBL 24569-4 ªÁ.2	          728651.71	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          728651.71
11320531   S/A BBL 24569-4 ªÁ.2	          145519.26	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          145519.26
11320540   S/A BBL 40519-9 ÁÍÂ.	           20063.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           20063.09
11320821   S/A BBL 54644-2 Ê·.	               0.00	            6245.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            6245.03
11320950   S/A BBL 80405-5 Íµ.	               0.00	          105801.71	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          105801.71
11320951   S/A BBL 80405-5 Íµ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11320960   S/A BBL 16506-3 ¾ª.	               0.00	           21499.73	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           21499.73
11320961   S/A BBL 16506-3 ¾ª.	               0.00	           20284.03	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           20284.03
11321000   S/A BBL 16181-1 ´ª.	               0.00	         2922837.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2922837.05
11321001   S/A BBL 16181-1 ´ª.	               0.00	            -634.34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            -634.34
11321140   S/A BBL 10253-9 ·ÊÅ.	               0.00	           59783.29	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           59783.29
11321141   S/A BBL 10253-9 ·ÊÅ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321150   S/A BBL 16404-3 ÈÊ.	               0.00	         1054179.39	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         1054179.39
11321151   S/A BBL 16404-3 ÈÊ.	               0.00	         2184870.76	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         2184870.76
11321170   S/A BBL 25870-2 º¡·.	               0.00	           52000.10	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           52000.10
11321171   S/A BBL 25870-2 º¡·.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321180   S/A BBL 13519-8 ¹¹.	               0.00	          224486.55	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          224486.55
11321181   S/A BBL 13519-8 ¹¹.	               0.00	          564892.31	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          564892.31
11321521   S/A BBL 65244-5 Åº.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321580   S/A BBL 06172-5 ¹ºÇ.	               0.00	               0.00	           24543.07	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           24543.07
11321581   S/A BBL 06172-5 ¹ºÇ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321620   S/A BBL 20373-9 ¹Í.	               0.00	               0.00	            5141.53	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            5141.53
11321621   S/A BBL 20373-9 ¹Í.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321690   S/A BBL 05416-5 ÍºÃ.	               0.00	               0.00	           10814.21	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           10814.21
11321691   S/A BBL 05416-5 ÍºÃ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321740   S/A BBL 27517-3 º§Ê.	               0.00	               0.00	           10068.15	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           10068.15
11321750   S/A BBL 32149-8 ¤ÊÃ.	               0.00	               0.00	           11258.51	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           11258.51
11321751   S/A BBL 32149-8 ¤ÊÃ.	               0.00	               0.00	           -1192.28	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -1192.28
11321770   S/A BBL 28142-6 ºÁ.	               0.00	               0.00	            1572.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1572.12
11321771   S/A BBL 28142-6 ºÁ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321780   S/A BBL 32140-7 ÅÁÊ.	               0.00	               0.00	          535251.79	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          535251.79
11321781   S/A BBL 32140-7 ÅÁÊ.	               0.00	               0.00	         -294325.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         -294325.93
11321800   S/A BBL 54789-6µÒ¤ÅÕ	               0.00	               0.00	           17098.26	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           17098.26
11321801   S/A BBL 54789-6µÒ¤ÅÕ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11321820   S/A BBL 49205-8 È·.	               0.00	               0.00	           94083.05	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           94083.05
11321821   S/A BBL 49205-8 È·.	               0.00	               0.00	          225311.39	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          225311.39
11321830   S/A BBL 10228-8 ¾ª.	               0.00	               0.00	           85302.12	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           85302.12
11321831   S/A BBL 10228-8 ¾ª.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11322340   S/A BBL 05536-4 ¢¡.	               0.00	               0.00	               0.00	           39402.29	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           39402.29
11322341   S/A BBL 05536-4 ¢¡.	               0.00	               0.00	               0.00	           80400.22	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           80400.22
11322470   S/A BBL 32649-3 º¼.	               0.00	               0.00	               0.00	           18563.31	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           18563.31
11322471   S/A BBL 32649-3 º¼.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11322490   S/A BBL 62942-1 ¾Å	               0.00	               0.00	               0.00	           60889.50	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           60889.50
11322491   S/A BBL 62942-1 ¾Å	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11322500   S/A BBL 09320-3 Á¨.	               0.00	               0.00	               0.00	           64609.09	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           64609.09
11322501   S/A BBL 09320-3 Á¨.	               0.00	               0.00	               0.00	            -999.75	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            -999.75
11322511   S/A BBL 63447-7 Ê¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11322580   S/A BBL 35516-5 ¾¤¹.	               0.00	               0.00	               0.00	            4470.34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            4470.34
11322581   S/A BBL 35516-5 ¾¤¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11322590   S/A BBL 37205-7 ÊÇ.	               0.00	               0.00	               0.00	            3186.64	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            3186.64
11322591   S/A BBL 37205-7 ÊÇ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11322610   S/A BBL 14421-1 ¹Ë.	               0.00	               0.00	               0.00	            1302.80	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            1302.80
11322611   S/A BBL 14421-1 ¹Ë.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11322630   S/A BBL 42637-8 ¡ÀÇ.	               0.00	               0.00	               0.00	          870998.82	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          870998.82
11322631   S/A BBL 42637-8 ¡ÀÇ.	               0.00	               0.00	               0.00	           91907.34	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           91907.34
11323040   S/A BBL 22544-1 µ¼.	               0.00	               0.00	               0.00	               0.00	           11000.40	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           11000.40
11323041   S/A BBL 22544-1 µ¼.	               0.00	               0.00	               0.00	               0.00	          -40644.08	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          -40644.08
11323050   S/A BBL 52680-1 È¡.	               0.00	               0.00	               0.00	               0.00	          838892.64	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          838892.64
11323051   S/A BBL 52680-1 È¡.	               0.00	               0.00	               0.00	               0.00	         -307529.67	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         -307529.67
11323060   S/A BBL 28327-4 ¡Ã.	               0.00	               0.00	               0.00	               0.00	           54812.93	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           54812.93
11323061   S/A BBL 28327-4 ¡Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11323080   S/A BBL 33153-1 ¢¢.	               0.00	               0.00	               0.00	               0.00	             182.94	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             182.94
11323081   S/A BBL 33153-1 ¢¢.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11323091   S/A BBL 18313-4 ÃÈ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11323100   S/A BBL 97543-0 ÂÊ.	               0.00	               0.00	               0.00	               0.00	           48818.26	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           48818.26
11323101   S/A BBL 97543-0 ÂÊ.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11323180   S/A BBL 24611-3 ªÂ¹.	               0.00	               0.00	               0.00	               0.00	             926.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	             926.87
11323181   S/A BBL 24611-3 ªÂ¹.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11323230   S/A BBL 27132-0 ¡É.	               0.00	               0.00	               0.00	               0.00	           12311.39	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           12311.39
11323231   S/A BBL 27132-0 ¡É.	               0.00	               0.00	               0.00	               0.00	              60.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              60.00
11323270   S/A BBL 70664-2 Í¨.	               0.00	               0.00	               0.00	               0.00	           28368.14	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           28368.14
11323271   S/A BBL 70664-2 Í¨.	               0.00	               0.00	               0.00	               0.00	           -1212.31	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -1212.31
11323290   S/A BBL 07009-8 ¢Ã.	               0.00	               0.00	               0.00	               0.00	           38324.64	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           38324.64
11323291   S/A BBL 07009-8 ¢Ã.	               0.00	               0.00	               0.00	               0.00	          -38265.52	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          -38265.52
11323320   S/A BBL 18351-8 Ê´¨.	               0.00	               0.00	               0.00	               0.00	           21264.87	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           21264.87
11323321   S/A BBL 18351-8 Ê´¨.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11323360   S/A BBL 49760-7 ´Í.	               0.00	               0.00	               0.00	               0.00	            4128.36	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            4128.36
11323361   S/A BBL 49760-7 ´Í.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11323370   S/A BBL 41425-0 ¹Â.	               0.00	               0.00	               0.00	               0.00	          420440.89	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          420440.89
11323371   S/A BBL 41425-0 ¹Â.	               0.00	               0.00	               0.00	               0.00	         -229652.44	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         -229652.44
11323380   S/A BBL 54590-7 ÇÃª	               0.00	               0.00	               0.00	               0.00	              68.17	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              68.17
11323381   S/A BBL 54590-7 ÇÃª	               0.00	               0.00	               0.00	               0.00	         -238920.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         -238920.00
11323390   S/A BBL 07960-3 Á¤.	               0.00	               0.00	               0.00	               0.00	          843023.43	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          843023.43
11323391   S/A BBL 07960-3 Á¤.	               0.00	               0.00	               0.00	               0.00	          100018.06	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          100018.06
11323400   S/A BBL 01570-4 ¡Ê.	               0.00	               0.00	               0.00	               0.00	          183113.26	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	          183113.26
11323401   S/A BBL 01570-4 ¡Ê.	               0.00	               0.00	               0.00	               0.00	           12850.25	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           12850.25
11323810   S/A BBL 35639-4 ¨Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	            3237.55	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            3237.55
11323811   S/A BBL 35639-4 ¨Ã.	               0.00	               0.00	               0.00	               0.00	               0.00	              30.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	              30.00
